"","age_A","age_B","height_A","height_B","reach_A","reach_B","weight_A","weight_B","won_A","won_B","lost_A","lost_B","kos_A","kos_B","AdvAgeA","AdvHeightA","AdvReachA","AdvWgtA","Over35AgeA","Over35AgeB","Over15lbA","Over15lbB","WinPA","WinPB","KoAPer","KoBPer","binaryresult","stance"
"340",42,29,190,189,206,198,210,233,54,27,3,0,37,22,13,1,8,-23,1,0,0,1,0.947368421052632,1,0.649122807017544,0.814814814814815,"1","orthodox"
"277",38,24,173,170,185,161,139,140,42,8,6,0,18,5,14,3,24,-1,1,0,0,0,0.875,1,0.375,0.625,"1","orthodox"
"43",23,24,173,165,171,168,114,115,11,17,3,2,3,9,-1,8,3,-1,0,0,0,0,0.785714285714286,0.894736842105263,0.214285714285714,0.473684210526316,"1","orthodox"
"5931",27,20,164,157,166,160,128,133,75,37,20,6,35,21,7,7,6,-5,0,0,0,0,0.789473684210526,0.86046511627907,0.368421052631579,0.488372093023256,"1","Unknown"
"958",35,32,193,188,203,193,273,221,48,20,4,0,42,17,3,5,10,52,1,0,1,0,0.923076923076923,1,0.807692307692308,0.85,"1","orthodox"
"398",35,29,170,173,173,183,146,147,43,36,9,0,13,24,6,-3,-10,-1,1,0,0,0,0.826923076923077,1,0.25,0.666666666666667,"1","orthodox"
"94",28,22,188,180,196,188,245,270,12,11,0,15,12,9,6,8,8,-25,0,0,0,1,1,0.423076923076923,1,0.346153846153846,"1","orthodox"
"624",22,29,157,164,160,171,119,120,63,111,12,21,8,24,-7,-7,-11,-1,0,0,0,0,0.84,0.840909090909091,0.106666666666667,0.181818181818182,"1","Unknown"
"155",24,23,183,202,198,201,223,255,13,10,0,1,11,7,1,-19,-3,-32,0,0,0,1,1,0.909090909090909,0.846153846153846,0.636363636363636,"1","orthodox"
"898",36,25,187,191,192,198,190,188,26,16,12,1,24,13,11,-4,-6,2,1,0,0,0,0.684210526315789,0.941176470588235,0.631578947368421,0.764705882352941,"1","orthodox"
"124",23,26,178,178,178,178,130,130,13,12,1,4,8,4,-3,0,0,0,0,0,0,0,0.928571428571429,0.75,0.571428571428571,0.25,"1","orthodox"
"917",31,25,187,183,196,183,214,203,6,22,2,6,4,19,6,4,13,11,0,0,0,0,0.75,0.785714285714286,0.5,0.678571428571429,"1","orthodox"
"681",33,30,173,169,188,178,146,145,36,61,12,3,23,44,3,4,10,1,0,0,0,0,0.75,0.953125,0.479166666666667,0.6875,"1","orthodox"
"853",25,28,188,191,200,192,198,199,11,11,0,1,9,4,-3,-3,8,-1,0,0,0,0,1,0.916666666666667,0.818181818181818,0.333333333333333,"1","orthodox"
"654",31,28,168,174,174,178,147,146,44,26,12,1,30,15,3,-6,-4,1,0,0,0,0,0.785714285714286,0.962962962962963,0.535714285714286,0.555555555555556,"1","Unknown"
"713",26,34,193,185,216,198,213,218,17,27,1,11,13,18,-8,8,18,-5,0,0,0,0,0.944444444444444,0.710526315789474,0.722222222222222,0.473684210526316,"1","orthodox"
"409",37,41,188,185,191,191,174,174,24,46,3,4,18,32,-4,3,0,0,1,1,0,0,0.888888888888889,0.92,0.666666666666667,0.64,"1","southpaw"
"519",32,26,170,164,173,165,122,122,40,18,4,4,22,9,6,6,8,0,0,0,0,0,0.909090909090909,0.818181818181818,0.5,0.409090909090909,"1","southpaw"
"424",30,34,178,189,180,198,215,222,45,32,1,3,39,23,-4,-11,-18,-7,0,0,0,0,0.978260869565217,0.914285714285714,0.847826086956522,0.657142857142857,"1","orthodox"
"584",30,26,168,168,173,178,135,135,70,67,16,11,29,7,4,0,-5,0,0,0,0,0,0.813953488372093,0.858974358974359,0.337209302325581,0.0897435897435897,"1","orthodox"
