"","age_A","age_B","height_A","height_B","reach_A","reach_B","weight_A","weight_B","won_A","won_B","lost_A","lost_B","kos_A","kos_B","result","AdvAgeA","AdvHeightA","AdvReachA","AdvWgtA","Over35AgeA","Over35AgeB","Over15lbA","Over15lbB","WinPA","WinPB","KoAPer","KoBPer","binaryresult","stance"
"950",26,19,165,168,174,170,126,126,36,37,15,7,8,14,"win_B",7,-3,4,0,0,0,0,0,0.705882352941177,0.840909090909091,0.156862745098039,0.318181818181818,1,"orthodox"
"215",26,33,185,173,193,183,161,163,19,28,1,7,9,16,"win_B",-7,12,10,-2,0,0,0,0,0.95,0.8,0.45,0.457142857142857,1,"southpaw"
"388",30,37,183,183,185,188,182,194,71,49,5,16,39,31,"win_B",-7,0,-3,-12,0,1,0,0,0.934210526315789,0.753846153846154,0.513157894736842,0.476923076923077,1,"orthodox"
"922",31,34,171,173,180,178,140,139,22,34,0,9,17,25,"win_B",-3,-2,2,1,0,0,0,0,1,0.790697674418605,0.772727272727273,0.581395348837209,1,"orthodox"
"329",28,32,187,188,184,193,207,182,62,54,10,1,13,46,"win_B",-4,-1,-9,25,0,0,1,0,0.861111111111111,0.981818181818182,0.180555555555556,0.836363636363636,1,"orthodox"
"665",33,25,154,159,160,173,111,111,60,26,5,6,15,17,"win_B",8,-5,-13,0,0,0,0,0,0.923076923076923,0.8125,0.230769230769231,0.53125,1,"orthodox"
"511",22,26,171,179,175,182,141,142,147,67,19,5,41,14,"win_B",-4,-8,-7,-1,0,0,0,0,0.885542168674699,0.930555555555556,0.246987951807229,0.194444444444444,1,"Unknown"
"839",41,25,193,191,208,193,270,215,39,20,13,1,29,10,"win_B",16,2,15,55,1,0,1,0,0.75,0.952380952380952,0.557692307692308,0.476190476190476,1,"orthodox"
"426",25,31,196,189,206,198,217,246,34,29,0,1,29,22,"win_B",-6,7,8,-29,0,0,0,1,1,0.966666666666667,0.852941176470588,0.733333333333333,1,"orthodox"
"657",35,26,177,173,178,182,159,154,61,44,9,16,31,26,"win_B",9,4,-4,5,1,0,0,0,0.871428571428571,0.733333333333333,0.442857142857143,0.433333333333333,1,"orthodox"
"524",31,27,182,197,185,216,186,270,112,77,23,6,12,62,"win_B",4,-15,-31,-84,0,0,0,1,0.82962962962963,0.927710843373494,0.0888888888888889,0.746987951807229,1,"orthodox"
"107",27,25,168,175,165,178,131,131,8,8,0,1,3,4,"win_B",2,-7,-13,0,0,0,0,0,1,0.888888888888889,0.375,0.444444444444444,1,"orthodox"
"120",37,27,179,178,185,183,148,148,33,17,6,3,19,8,"win_B",10,1,2,0,1,0,0,0,0.846153846153846,0.85,0.487179487179487,0.4,1,"orthodox"
"701",26,28,179,173,191,188,174,172,52,101,11,23,25,42,"win_B",-2,6,3,2,0,0,0,0,0.825396825396825,0.814516129032258,0.396825396825397,0.338709677419355,1,"Unknown"
"82",38,29,173,182,178,182,158,157,39,21,4,9,22,13,"win_B",9,-9,-4,1,1,0,0,0,0.906976744186046,0.7,0.511627906976744,0.433333333333333,1,"orthodox"
"903",33,27,170,171,170,175,134,132,48,18,4,12,44,9,"win_B",6,-1,-5,2,0,0,0,0,0.923076923076923,0.6,0.846153846153846,0.3,1,"orthodox"
"452",33,26,169,171,180,172,132,132,157,43,10,14,100,26,"win_B",7,-2,8,0,0,0,0,0,0.940119760479042,0.754385964912281,0.598802395209581,0.456140350877193,1,"orthodox"
"145",28,22,165,160,165,171,115,115,20,17,0,2,16,12,"win_B",6,5,-6,0,0,0,0,0,1,0.894736842105263,0.8,0.631578947368421,1,"orthodox"
"622",22,24,175,179,191,180,148,155,26,64,3,7,15,26,"win_B",-2,-4,11,-7,0,0,0,0,0.896551724137931,0.901408450704225,0.517241379310345,0.366197183098592,1,"orthodox"
"935",36,27,152,168,165,160,105,105,40,25,5,3,30,11,"win_B",9,-16,5,0,1,0,0,0,0.888888888888889,0.892857142857143,0.666666666666667,0.392857142857143,1,"orthodox"
"327",30,32,182,191,185,198,212,209,30,43,1,2,25,31,"win_B",-2,-9,-13,3,0,0,0,0,0.967741935483871,0.955555555555556,0.806451612903226,0.688888888888889,1,"orthodox"
"810",26,33,179,178,203,193,166,190,65,119,24,16,44,51,"win_B",-7,1,10,-24,0,0,0,1,0.730337078651685,0.881481481481482,0.49438202247191,0.377777777777778,1,"Unknown"
"787",22,28,173,161,178,157,138,137,71,48,15,15,9,20,"win_B",-6,12,21,1,0,0,0,0,0.825581395348837,0.761904761904762,0.104651162790698,0.317460317460317,1,"Unknown"
"696",27,21,163,165,169,166,118,119,50,33,9,7,9,19,"win_B",6,-2,3,-1,0,0,0,0,0.847457627118644,0.825,0.152542372881356,0.475,1,"Unknown"
"446",38,33,170,178,168,188,158,160,85,35,7,1,61,25,"win_B",5,-8,-20,-2,1,0,0,0,0.923913043478261,0.972222222222222,0.66304347826087,0.694444444444444,1,"orthodox"
"504",25,22,179,182,182,187,179,177,129,52,26,11,11,34,"win_B",3,-3,-5,2,0,0,0,0,0.832258064516129,0.825396825396825,0.0709677419354839,0.53968253968254,1,"orthodox"
"52",25,22,157,160,160,152,112,112,22,29,1,2,17,22,"win_B",3,-3,8,0,0,0,0,0,0.956521739130435,0.935483870967742,0.739130434782609,0.709677419354839,1,"orthodox"
"376",19,26,165,165,175,173,130,128,46,72,16,7,16,15,"win_B",-7,0,2,2,0,0,0,0,0.741935483870968,0.911392405063291,0.258064516129032,0.189873417721519,1,"orthodox"
"641",27,37,183,183,185,185,154,154,21,40,0,3,5,29,"win_B",-10,0,0,0,0,1,0,0,1,0.930232558139535,0.238095238095238,0.674418604651163,1,"orthodox"
"296",32,28,188,188,196,188,251,289,8,4,4,1,6,4,"win_B",4,0,8,-38,0,0,0,1,0.666666666666667,0.8,0.5,0.8,1,"southpaw"
"512",20,22,171,163,175,165,129,130,123,32,13,12,40,14,"win_B",-2,8,10,-1,0,0,0,0,0.904411764705882,0.727272727272727,0.294117647058824,0.318181818181818,1,"Unknown"
"558",25,32,188,182,198,193,184,200,18,80,1,22,14,29,"win_B",-7,6,5,-16,0,0,0,1,0.947368421052632,0.784313725490196,0.736842105263158,0.284313725490196,1,"orthodox"
"176",22,28,171,170,182,180,135,135,14,17,2,3,13,15,"win_B",-6,1,2,0,0,0,0,0,0.875,0.85,0.8125,0.75,1,"orthodox"
"6",35,29,179,166,185,170,142,145,39,47,5,3,30,35,"win_B",6,13,15,-3,1,0,0,0,0.886363636363636,0.94,0.681818181818182,0.7,1,"orthodox"
"607",27,19,171,180,180,183,137,137,68,22,10,2,33,8,"win_B",8,-9,-3,0,0,0,0,0,0.871794871794872,0.916666666666667,0.423076923076923,0.333333333333333,1,"orthodox"
"440",29,22,180,179,183,185,135,133,32,18,0,0,16,16,"win_B",7,1,-2,2,0,0,0,0,1,1,0.5,0.888888888888889,1,"orthodox"
"785",29,24,191,189,201,208,230,225,28,23,1,0,19,20,"win_B",5,2,-7,5,0,0,0,0,0.96551724137931,1,0.655172413793103,0.869565217391304,1,"orthodox"
"753",27,40,180,170,185,178,139,139,27,34,2,9,19,25,"win_B",-13,10,7,0,0,1,0,0,0.931034482758621,0.790697674418605,0.655172413793103,0.581395348837209,1,"orthodox"
"474",26,32,188,183,198,185,190,201,21,83,2,10,16,46,"win_B",-6,5,13,-11,0,0,0,0,0.91304347826087,0.89247311827957,0.695652173913043,0.494623655913978,1,"orthodox"
"565",48,25,192,193,199,203,260,227,76,29,4,1,68,24,"win_B",23,-1,-4,33,1,0,1,0,0.95,0.966666666666667,0.85,0.8,1,"orthodox"
"246",28,26,183,185,175,196,159,159,25,18,1,3,9,17,"win_B",2,-2,-21,0,0,0,0,0,0.961538461538462,0.857142857142857,0.346153846153846,0.80952380952381,1,"orthodox"
"795",30,22,180,182,185,187,177,182,67,53,25,11,22,34,"win_B",8,-2,-2,-5,0,0,0,0,0.728260869565217,0.828125,0.239130434782609,0.53125,1,"orthodox"
"865",23,23,175,173,183,178,135,135,14,12,1,1,9,8,"win_B",0,2,5,0,0,0,0,0,0.933333333333333,0.923076923076923,0.6,0.615384615384615,1,"orthodox"
"83",29,25,175,182,180,182,154,154,12,15,7,5,6,8,"win_B",4,-7,-2,0,0,0,0,0,0.631578947368421,0.75,0.315789473684211,0.4,1,"orthodox"
"194",20,27,168,165,183,165,118,118,16,14,0,4,6,11,"win_B",-7,3,18,0,0,0,0,0,1,0.777777777777778,0.375,0.611111111111111,1,"orthodox"
"1030",26,30,170,178,173,175,152,156,35,21,6,7,15,15,"win_B",-4,-8,-2,-4,0,0,0,0,0.853658536585366,0.75,0.365853658536585,0.535714285714286,1,"Unknown"
"24",35,23,168,174,175,170,130,131,36,14,3,2,24,5,"win_B",12,-6,5,-1,1,0,0,0,0.923076923076923,0.875,0.615384615384615,0.3125,1,"orthodox"
"326",30,32,177,185,185,191,160,160,27,32,5,2,19,25,"win_B",-2,-8,-6,0,0,0,0,0,0.84375,0.941176470588235,0.59375,0.735294117647059,1,"Unknown"
"1019",23,26,165,168,178,168,133,132,10,23,0,1,5,13,"win_B",-3,-3,10,1,0,0,0,0,1,0.958333333333333,0.5,0.541666666666667,1,"Unknown"
"620",29,26,179,175,180,185,162,165,113,65,17,5,32,34,"win_B",3,4,-5,-3,0,0,0,0,0.869230769230769,0.928571428571429,0.246153846153846,0.485714285714286,1,"orthodox"
"905",22,21,165,166,165,170,119,119,13,10,1,0,11,10,"win_B",1,-1,-5,0,0,0,0,0,0.928571428571429,1,0.785714285714286,1,1,"orthodox"
"955",36,35,192,196,193,207,248,226,30,29,2,1,14,17,"win_B",1,-4,-14,22,1,1,1,0,0.9375,0.966666666666667,0.4375,0.566666666666667,1,"orthodox"
"934",28,23,170,169,178,170,122,123,28,19,1,2,20,5,"win_B",5,1,8,-1,0,0,0,0,0.96551724137931,0.904761904761905,0.689655172413793,0.238095238095238,1,"orthodox"
"827",26,21,169,163,177,173,121,116,66,64,15,1,52,24,"win_B",5,6,4,5,0,0,0,0,0.814814814814815,0.984615384615385,0.641975308641975,0.369230769230769,1,"orthodox"
"212",30,25,163,178,160,171,136,132,17,24,2,4,10,17,"win_B",5,-15,-11,4,0,0,0,0,0.894736842105263,0.857142857142857,0.526315789473684,0.607142857142857,1,"orthodox"
